orderId,time,symbol,side,price,executedQty,buyorderid,pnlperc,pnlusd
173847288,2022-11-11 00:00:31.841,MASKBUSD,BUY,3.23185153,45.80000000,0,0,0
617435502,2022-11-12 00:00:25.827,LINKBUSD,BUY,7.035,17.61000000,0,0,0
118774520,2022-11-12 04:00:21.572,TWTBUSD,BUY,1.1857,120.00000000,0,0,0
118813703,2022-11-12 08:00:09.443,TWTBUSD,SELL,1.1545,120.00000000,118774520,-2.63,-3.7439999999999714
82920497,2022-11-12 08:00:35.830,PHABUSD,BUY,0.1606,840.00000000,0,0.0,0.0
619217046,2022-11-12 13:19:26.929,LINKBUSD,SELL,6.3,17.61000000,617435502,-10.45,-12.943349999999995
118943640,2022-11-12 16:00:21.040,TWTBUSD,BUY,1.23806195,113.00000000,0,0,0
178158168,2022-11-13 08:00:11.852,MASKBUSD,SELL,3.169,45.80000000,173847288,-1.94,-2.8786000739999906
83280176,2022-11-14 00:00:31.836,PHABUSD,SELL,0.1546,840.00000000,82920497,-3.74,-5.0400000000000205
xxx,2022-11-13 10:00:19.371,TWTBUSD,SELL,2.2,113.00000000,xxx,77.7,108.7
36233088,2022-11-15 04:00:24.659,RNDRBUSD,BUY,0.51,297.35000000,0,0,0
36269170,2022-11-15 16:00:15.580,RNDRBUSD,SELL,0.509,297.09000000,36233088,-0.2,-0.4296900000000221
33036611,2022-11-15 16:00:21.711,BNXBUSD,BUY,147.6,0.84600000,0,0.0,0.0
180777669,2022-11-15 16:00:26.196,MASKBUSD,BUY,3.09,38.40000000,0,0.0,0.0
180962016,2022-11-15 20:00:15.007,MASKBUSD,SELL,2.981,38.30000000,180777669,-3.53,-4.483699999999999
181347954,2022-11-16 04:00:22.616,MASKBUSD,BUY,3.249,38.00000000,0,0,0
105875353,2022-11-16 20:00:21.747,INJBUSD,BUY,1.736,81.30000000,0,0,0
61058608,2022-11-17 08:00:23.489,MDXBUSD,BUY,0.08640077,1689.00000000,0,0,0
83834405,2022-11-17 12:00:27.068,PHABUSD,BUY,0.1603,858.00000000,0,0,0
106041487,2022-11-18 04:00:15.029,INJBUSD,SELL,1.73134113,81.20000000,105875353,-0.27,-0.5519002439999952
184264865,2022-11-18 12:00:16.081,MASKBUSD,SELL,3.16674737,38.00000000,181347954,-2.53,-3.1255999400000007
106085625,2022-11-18 16:00:24.895,INJBUSD,BUY,1.727,66.60000000,0,0,0
106099319,2022-11-18 20:00:16.123,INJBUSD,SELL,1.718,66.50000000,106085625,-0.52,-0.7711999999999932
84155501,2022-11-18 20:00:22.366,PHABUSD,SELL,0.1572,858.00000000,83834405,-1.93,-2.65979999999999
84170772,2022-11-19 00:00:33.148,PHABUSD,BUY,0.1578,698.00000000,0,0,0
84177896,2022-11-19 04:00:19.396,PHABUSD,SELL,0.1564,698.00000000,84170772,-0.89,-0.9771999999999821
106120556,2022-11-19 04:00:29.032,INJBUSD,BUY,1.717,67.40000000,0,0.0,0.0
147954393,2022-11-19 04:00:32.891,OPBUSD,BUY,0.896,122.72000000,0,0.0,0.0
106134428,2022-11-19 08:00:16.604,INJBUSD,SELL,1.685,67.40000000,106120556,-1.86,-2.156800000000004
148003472,2022-11-19 08:00:20.445,OPBUSD,SELL,0.895,122.72000000,147954393,-0.11,-0.12272000000000105
84195093,2022-11-19 08:00:34.278,PHABUSD,BUY,0.1569,704.00000000,0,0.0,0.0
938773079,2022-11-19 12:00:24.186,DOGEBUSD,BUY,0.08424999,1365.00000000,0,0,0
939004202,2022-11-19 16:00:11.571,DOGEBUSD,SELL,0.08419,1365.00000000,938773079,-0.07,-0.08188635000000488
1038247630,2022-11-20 00:00:35.401,XRPBUSD,BUY,0.3834,221.00000000,0,0,0
10062659,2022-11-20 04:00:32.623,PAXGBUSD,BUY,1745.0,0.04600000,0,0,0
148318222,2022-11-20 08:00:26.560,OPBUSD,BUY,0.934,88.90000000,0,0,0
148400776,2022-11-20 12:00:14.675,OPBUSD,SELL,0.885,88.90000000,148318222,-5.25,-4.356100000000012
10066763,2022-11-20 12:00:18.232,PAXGBUSD,SELL,1739.0,0.04600000,10062659,-0.34,-0.27599999999999625
10079812,2022-11-21 00:00:27.722,PAXGBUSD,BUY,1748.0,0.08230000,0,0,0
84821228,2022-11-21 04:00:14.629,PHABUSD,SELL,0.152,704.00000000,84195093,-3.12,-3.449600000000018
10087204,2022-11-21 08:00:15.620,PAXGBUSD,SELL,1742.0,0.08220000,10079812,-0.34,-0.6680000000000064
138933467,2022-11-21 16:00:34.225,TWTBUSD,BUY,2.0577,78.00000000,0,0,0
139043754,2022-11-21 20:00:14.538,TWTBUSD,SELL,1.9815,77.00000000,138933467,-3.7,-7.925100000000015
188040967,2022-11-22 16:00:21.806,MASKBUSD,BUY,2.676,48.80000000,0,0,0
188160079,2022-11-22 20:00:15.826,MASKBUSD,SELL,2.553,48.70000000,188040967,-4.6,-6.257699999999986
62074485,2022-11-22 20:00:19.752,MDXBUSD,SELL,0.0833,1684.20000000,61058608,-3.59,-5.637040530000007
313614603,2022-11-22 20:00:36.748,UNIBUSD,BUY,5.27,24.91000000,0,0.0,0.0
